login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
amitshekhariitbhu,amitshekhariitbhu/amitshekhariitbhu,2022-08-22T09:33:29Z,1,1,,True,True,
amitshekhariitbhu,amitshekhariitbhu/android-blogs,2017-05-29T07:57:01Z,19,19,,True,False,
amitshekhariitbhu,amitshekhariitbhu/Android-Debug-Database,2016-11-16T14:20:24Z,8401,8401,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/android-dev-sources,2017-03-20T14:45:17Z,14,14,,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/android-developer-roadmap,2019-07-28T19:16:36Z,2783,2783,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/Android-HotFix,2016-09-29T18:19:47Z,24,24,Java,True,True,
amitshekhariitbhu,amitshekhariitbhu/android-interview-questions,2017-07-09T18:47:24Z,11359,11359,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/android-mvp-basic-sample,2017-08-24T16:38:38Z,149,149,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/Android-MVP-Sample-Application,2017-01-13T11:04:00Z,260,260,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/android-online-course,2019-07-31T11:28:56Z,22,22,,True,True,
amitshekhariitbhu,amitshekhariitbhu/android-open-project,2016-07-01T02:26:47Z,9,9,,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/Android-Shimmer-Example,2020-03-09T16:06:31Z,61,61,Kotlin,True,True,
amitshekhariitbhu,amitshekhariitbhu/Android-TensorFlow-Lite-Example,2018-03-17T04:07:35Z,752,752,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/AndroidTensorFlowMachineLearningExample,2017-03-06T04:34:38Z,1435,1435,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/AndroidTensorFlowMNISTExample,2017-03-16T15:16:30Z,464,464,Java,True,True,Apache License 2.0
amitshekhariitbhu,amitshekhariitbhu/angular.js,2016-02-14T04:19:35Z,1,1,JavaScript,True,True,MIT License
amitshekhariitbhu,amitshekhariitbhu/AppLock,2015-04-27T16:54:48Z,40,40,Java,True,True,
amitshekhariitbhu,amitshekhariitbhu/awesome,2016-06-16T07:58:47Z,13,13,,True,False,
